zonder	met-e	ook_N
Santiagos	Santiagose	e
Santomees	Santomese	ze
Sardisch	Sardische	ze
-	Sarthe	
Saudisch	Saudische	e
Scandinavisch	Scandinavische	e
-	schelde	
-	schelde	
-	Schie	
Schiermonnikoogs	Schiermonnikoogse	e
Schots	Schotse	ze
-	selectie	
-	selfie	
Senegalees	Senegalese	ze
-	sensatie	
Seouls	Seoulse	e
-	serie	
-	service	
Servisch	Servische	ze
-	sessie	
Siberisch	Siberische	e
Siciliaans	Siciliaanse	ze
Sierraleoons	Sierraleonese	e
Silezisch	Silezische	ze
Singaporees	Singaporese	ze
Sint-Petersburgs	Sint-Petersburgse	e
-	site	
-	situatie	
Sjanghais	Sjanghaise	ze
Slavonisch	Slavonische	e
Sleeswijk-Holsteins	Sleeswijk-Holsteinse	e
Sloveens	Sloveense	ze
Slowaaks	Slowaakse	ze
-	Slowakije	
-	smartphone	
Soendanees	Soendanese	ze
Sofiotisch	Sofiotische	e
-	software	
Somalisch	Somalische	ze
-	sonde	
Spaans	Spaanse	ze
Srilankaans	Srilankaanse	e
-	stellingname	
-	Sterre	
Stockholms	Stockholmse	e
-	store	
Straatsburgs	Straatsburgse	e
-	strategie	
-	studie	
-	subsidie	
Sudanees	Sudanese	ze
Surinaams	Surinaamse	ze
Swazisch	Swazische	e
-	Sylvie	
Syrisch	Syrische	ze
Tadzjieks	Tadzjiekse	ze
Taiwanees	Taiwanese	ze
Tanzaniaans	Tanzaniaanse	e
Tarentijns	Tarentijnse	e
Tasmaans	Tasmaanse	ze
-	technologie	
Teheraans	Teheraanse	e
-	Tennessee	
Terschellings	Terschellingse	e
Texels	Texelse	e
Thais	Thaise	ze
Thebaans	Thebaanse	e
-	therapie	
Thracisch	Thracische	ze
Tibetaans	Tibetaanse	ze
Tilburgs	Tilburgse	e
Tiranees	Tiranese	ze
Tirools	Tiroolse	e
Togolees	Togolese	ze
Tokioos	Tokiose	e
Tongaans	Tongaanse	ze
Toscaans	Toscaanse	e
-	tragedie	
-	transactie	
Transsylvanisch	Transsylvanische	e
-	treppe	
-	tribune	
Triësts	Triëstse	e
-	trilogie	
Tripolitaans	Tripolitaanse	e
-	trofee	
-	troffee	
Tsjaads	Tsjaadse	e
Tsjechisch	Tsjechische	ze
Tunesisch	Tunesische	e
Turijns	Turijnse	e
Turkmeens	Turkmeense	ze
Turks	Turkse	ze
Tuvaluaans	Tuvaluaanse	ze
Twents	Twentse	ze
Ugandees	Ugandese	ze
-	uitgave	
Umbrisch	Umbrische	ze
-	unie	
Uruguayaans	Uruguayaanse	e
Utrechts	Utrechtse	e
-	vaccinatie	
-	variatie	
-	vedette	
Veluws	Veluwse	e
Venetiaans	Venetiaanse	e
Venezolaans	Venezolaanse	e
-	versie	
-	Vierdaagse	
Vietnamees	Vietnamese	ze
-	visie	
-	vitamine	
Vlaams	Vlaamse	ze
-	vlakte	
Vlielands	Vlielandse	e
-	volgorde	
-	voorwaarde	
-	Vrouwe	
Vuurlands	Vuurlandse	e
-	VVD-jongere	
Waals	Waalse	ze
-	waarde	
Warschaus	Warschause	e
Washingtons	Washingtonse	e
-	website	
Weens	Weense	e
-	Weesperzijde	
Wellingtons	Wellingtonse	e
-	Wernigerode	
West-Fries	West-Friese	ze
West-Samoaans	West-Samoaanse	ze
West-Vlaams	West-Vlaamse	ze
Willemstads	Willemstadse	e
Windhoeks	Windhoekse	e
Wit-Russisch	Wit-Russische	ze
Zaïrees	Zaïrese	ze
Zambiaans	Zambiaanse	e
-	Zândkoele	
-	zee	
Zeeuws-Vlaams	Zeeuws-Vlaamse	ze
Zeeuws	Zeeuwse	ze
-	zege	
-	ZiggoDome	
Zimbabwaans	Zimbabwaanse	e
-	Zoeloe	
Zoetermeers	Zoetermeerse	e
-	zone	
Zuid-Afrikaans	Zuid-Afrikaanse	e
Zuid-Amerikaans	Zuid-Amerikaanse	e
Zuid-Hollands	Zuid-Hollandse	e
Zuid-Koreaans	Zuid-Koreaanse	e
Zuid-Tirools	Zuid-Tiroolse	e
Zweeds	Zweedse	ze
Zwitsers	Zwitserse	e
Zwols	Zwolse	e
